   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              1,         0,           0,          1,             0,               0,              1,        0,          0,         2
   1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         1
   2,             1,               0,              4,         1,           2,         12,             1,               0,              1,        1,          2,         4
   3,             3,               2,              7,         3,           2,          8,             3,               2,              2,        3,          4,         4
   4,             4,               2,              3,         7,           5,          8,             6,               2,              3,        7,          8,         5
   5,             5,               2,              3,        11,           6,          8,            10,               2,              3,       12,         10,         5
   6,             6,               2,              3,        14,           7,          8,            15,               2,              3,       16,         12,         7
   7,             7,               2,              3,        22,          11,         12,            21,               2,              4,       21,         15,         8
   8,             8,               2,              4,        24,          10,         11,            28,               2,              5,       27,         21,        32
   9,             9,               2,              3,        23,          12,         12,            36,               2,              6,       35,         25,        13
  10,            10,               2,              4,        33,          15,         17,            45,               2,              7,       41,         29,        15
  11,            11,               2,              4,        31,          14,         19,            55,               2,              4,       49,         33,         8
  12,            13,               3,              2,        34,          17,          9,            66,               3,              5,       55,         38,        10
  13,            14,               3,              2,        47,          21,         11,            78,               3,              6,       63,         42,        10
  14,            15,               3,              2,        55,          18,         10,            91,               3,              7,       69,         47,        12
  15,            16,               3,              3,        57,          21,         11,           105,               3,              8,       76,         51,        13
  16,            17,               3,              2,        64,          22,         13,           120,               3,              9,       83,         57,        14
  17,            19,               4,              3,        76,          24,         14,           136,               4,             10,       94,         62,        15
  18,            20,               4,              3,        71,          25,         14,           153,               4,             11,      102,         68,        16
  19,            21,               4,              3,        63,          25,         13,           171,               4,             12,      112,         74,        18
  20,            23,               5,              4,        77,          30,         16,           190,               5,             13,      120,         81,        20
  21,            25,               6,              4,        98,          32,         18,           210,               6,             15,      130,         86,        21
  22,            26,               6,              4,       104,          33,         19,           231,               6,             16,      138,         90,        22
  23,            27,               6,              5,       106,          33,         19,           253,               6,             18,      148,         96,        23
  24,            28,               6,              4,       107,          36,         20,           276,               6,             19,      156,        101,        25
  25,            29,               6,              5,       106,          37,         21,           300,               6,             21,      166,        107,        26
  26,            31,               7,              5,       129,          36,         23,           325,               7,             23,      174,        112,        27
  27,            33,               8,              6,       122,          41,         24,           351,               8,             25,      184,        117,        29
  28,            36,              10,              6,       133,          41,         25,           378,               8,             26,      192,        123,        30
  29,            37,              10,              6,       134,          44,         26,           406,               8,             28,      202,        129,        31
  30,            38,              10,              7,       131,          39,         25,           435,               8,             31,      210,        136,        33
  31,            40,              11,              7,       163,          47,         29,           465,               9,             33,      220,        141,        35
  32,            41,              11,              7,       169,          48,         30,           496,               9,             36,      230,        147,        36
  33,            42,              11,              7,       154,          50,         29,           528,               9,             37,      243,        153,        38
  34,            43,              11,              7,       178,          48,         35,           561,               9,             40,      254,        163,        40
  35,            45,              12,              8,       173,          52,         32,           595,              10,             42,      266,        166,        42
  36,            46,              12,              8,       186,          54,         34,           630,              10,             45,      278,        176,        44
  37,            47,              12,              8,       216,          57,         37,           666,              10,             47,      290,        180,        45
  38,            48,              12,              8,       224,          54,         38,           703,              10,             50,      298,        186,        46
  39,            49,              12,              8,       196,          57,         36,           741,              10,             51,      311,        194,        48
  40,            51,              13,              9,       217,          56,         37,           780,              11,             54,      321,        197,        60
  41,            52,              13,              9,       219,          61,         38,           820,              11,             57,      333,        205,        58
  42,            53,              13,              9,       228,          61,         39,           861,              11,             59,      342,        213,        55
  43,            54,              13,              9,       250,          60,         41,           903,              11,             62,      354,        221,        56
  44,            55,              13,              9,       249,          59,         41,           946,              11,             65,      364,        227,        56
  45,            56,              13,              9,       278,          62,         44,           990,              11,             68,      376,        233,        58
  46,            57,              13,              9,       290,          70,         48,          1035,              11,             71,      389,        241,        60
  47,            59,              14,             10,       236,          65,         42,          1081,              12,             74,      399,        246,        61
  48,            61,              15,             10,       288,          69,         48,          1128,              13,             77,      410,        254,        64
  49,            62,              15,             10,       371,          70,         56,          1176,              13,             80,      424,        259,        65
  50,            63,              15,             10,       301,          72,         51,          1225,              13,             83,      434,        269,        68
  51,            65,              16,             10,       287,          78,         51,          1275,              14,             87,      446,        272,        72
  52,            67,              17,             11,       338,          73,         54,          1326,              15,             90,      459,        279,        71
  53,            70,              19,             11,       293,          76,         51,          1378,              15,             94,      470,        286,        72
  54,            73,              21,             12,       333,          82,         56,          1431,              17,             98,      480,        292,        74
  55,            74,              21,             13,       323,          81,         59,          1485,              17,            101,      490,        299,        76
  56,            75,              21,             13,       301,          81,         54,          1540,              17,            104,      503,        307,        77
  57,            76,              21,             13,       341,          83,         57,          1596,              17,            109,      517,        311,        79
  58,            77,              21,             13,       390,          86,         62,          1653,              17,            114,      524,        319,        87
  59,            78,              21,             13,       346,          89,         60,          1711,              17,            116,      535,        326,        83
  60,            79,              21,             13,       355,          88,         60,          1770,              17,            120,      547,        333,        85
  61,            80,              21,             13,       399,          85,         64,          1830,              17,            124,      560,        338,        86
  62,            81,              21,             14,       381,          83,         62,          1891,              17,            128,      570,        345,        88
  63,            82,              21,             14,       390,          93,         65,          1953,              17,            132,      582,        351,       221
  64,            84,              22,             15,       415,          90,         67,          2016,              18,            136,      592,        354,        91
  65,            85,              22,             15,       404,          92,         65,          2080,              18,            140,      606,        362,        93
  66,            86,              22,             14,       429,          98,         70,          2145,              18,            144,      621,        376,        96
  67,            87,              22,             15,       436,          99,         83,          2211,              18,            151,      635,        382,        98
  68,            89,              23,             15,       418,         103,         71,          2278,              19,            152,      649,        391,       248
  69,            92,              25,             34,       479,         100,         77,          2346,              19,            190,      664,        397,       102
  70,            96,              28,             17,       505,         106,         80,          2415,              20,            162,      676,        406,       105
  71,           100,              31,             18,       455,         105,         75,          2485,              21,            166,      690,        412,       106
  72,           101,              31,             18,       513,         104,         80,          2556,              21,            309,      703,        422,       108
  73,           102,              31,             18,       462,         105,         76,          2628,              21,            215,      717,        426,       215
  74,           103,              31,             19,       525,         111,        110,          2701,              21,            183,      732,        436,       115
  75,           104,              31,             20,       544,         108,         85,          2775,              21,            185,      743,        444,       117
  76,           105,              31,             19,       442,         114,         77,          2850,              21,            189,      758,        452,       117
  77,           106,              31,             18,       579,         114,         88,          2926,              21,            193,      771,        458,       119
  78,           108,              32,             25,       474,         116,         79,          3003,              22,            198,      784,        467,       120
