 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              0,         0,           0,          1,             0,               0,              0,        0,          0,         0
 1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         0
 2,             1,               0,              3,         2,           2,          9,             1,               0,              0,        1,          2,         2
 3,             2,               0,              1,         4,           4,          6,             3,               0,              0,        3,          4,         2
 4,             3,               0,              0,         5,           4,          3,             6,               0,              1,        7,          8,         2
 5,             4,               0,              0,         8,           6,          3,            10,               0,              1,       12,         10,         3
 6,             6,               1,              2,        12,           8,          5,            15,               1,              2,       16,         12,         4
 7,            10,               4,              3,        17,           8,          5,            21,               3,              2,       20,         15,         4
 8,            11,               4,              2,        21,          13,          6,            28,               3,              2,       26,         21,         5
 9,            12,               4,              2,        25,          12,          7,            36,               3,              3,       34,         25,         6
10,            13,               4,              2,        29,          15,          7,            45,               3,              4,       40,         30,         8
