    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         1
    1,             0,               0,              0,         0,           0,          0,             0,               0,              0,        0,          0,         0
    2,             1,               0,              3,         2,           2,          7,             1,               0,              0,        1,          2,         2
    3,             2,               0,              1,         3,           2,          4,             3,               0,              0,        3,          4,         2
    4,             5,               3,              4,         5,           4,          4,             6,               3,              1,        6,          5,         2
    5,             7,               4,              2,        11,           7,          5,            10,               4,              2,       10,          8,         3
    6,            12,               9,              4,        18,           9,          5,            15,               3,              2,       16,         13,         4
    7,            18,              15,              5,        20,          12,          6,            21,               5,              3,       21,         15,         4
    8,            25,              21,              7,        28,          12,          7,            28,               5,              3,       25,         17,         5
    9,            28,              23,              8,        30,          17,          9,            36,               7,              4,       31,         21,         6
   10,            35,              29,             10,        37,          16,          9,            45,               9,              5,       39,         27,         8
   11,            36,              29,             10,        38,          18,          9,            55,               9,              6,       47,         33,        27
   12,            46,              38,             16,        48,          21,         16,            66,               6,              7,       53,         34,        12
   13,            50,              41,             14,        62,          24,         15,            78,               7,              7,       59,         39,        12
   14,            56,              46,             15,        56,          23,         13,            91,              10,              9,       63,         42,        12
   15,            60,              49,             16,        88,          25,         18,           105,              11,             10,       68,         45,        13
   16,            69,              57,             19,        71,          30,         17,           120,              11,             11,       80,         53,        15
   17,            72,              59,             20,        87,          29,         18,           136,              13,             13,       90,         59,        17
   18,            87,              73,             24,        92,          32,         19,           153,              15,             14,       97,         63,        18
   19,            97,              82,             27,        89,          37,         21,           171,              16,             16,      103,         66,        19
   20,           101,              85,             28,       101,          34,         22,           190,              17,             17,      111,         73,        20
   21,           112,              95,             31,       110,          37,         22,           210,              17,             19,      119,         75,        21
   22,           113,              95,             31,       111,          39,         23,           231,              17,             20,      129,         85,        24
   23,           116,              97,             31,       124,          42,         25,           253,              19,             22,      139,         87,        25
   24,           126,             106,             35,       120,          42,         25,           276,              22,             24,      148,         94,        26
   25,           147,             126,             41,       132,          51,         28,           300,              20,             26,      157,        100,        28
   26,           159,             137,             44,       138,          43,         28,           325,              21,             28,      168,        105,        30
   27,           176,             153,             49,       167,          51,         33,           351,              25,             30,      176,        111,        32
   28,           182,             158,             51,       139,          53,         37,           378,              24,             32,      185,        118,        33
   29,           189,             164,             52,       184,          54,         35,           406,              26,             34,      191,        120,        34
   30,           211,             185,             58,       183,          58,         36,           435,              25,             36,      198,        125,        35
   31,           241,             215,             67,       175,          61,         36,           465,              29,             39,      207,        129,        36
   32,           268,             241,             75,       202,          62,         39,           496,              31,             41,      218,        135,        38
   33,           294,             266,             83,       196,          64,         39,           528,              26,             44,      229,        134,        39
   34,           318,             289,             89,       189,          67,         39,           561,              29,             52,      243,        147,        42
   35,           346,             316,             99,       212,          72,         44,           595,              30,             49,      253,        150,        43
   36,           381,             350,            108,       215,          74,         44,           630,              32,             52,      258,        156,        44
   37,           397,             365,            114,       220,          75,         48,           666,              31,             55,      272,        165,        47
   38,           431,             398,            123,       237,          81,         48,           703,              32,             58,      282,        168,        48
   39,           469,             436,            134,       260,          81,         51,           741,              34,             61,      291,        174,        50
   40,           497,             463,            142,       257,          82,         50,           780,              37,             64,      302,        177,        51
   41,           512,             477,            148,       269,          80,         51,           820,              37,             67,      314,        183,        53
   42,           514,             478,            147,       291,          87,         55,           861,              38,             70,      320,        188,        56
   43,           519,             482,            149,       274,          94,         56,           903,              38,             73,      334,        194,        56
   44,           531,             493,            152,       369,          87,         64,           946,              41,             77,      348,        201,        58
   45,           575,             537,            166,       314,          93,         60,           990,              43,             81,      360,        207,        61
   46,           618,             579,            178,       287,          93,         57,          1035,              43,             84,      372,        213,        62
   47,           633,             593,            187,       338,         100,         65,          1081,              43,             87,      379,        217,        63
   48,           652,             611,            189,       400,          97,         71,          1128,              45,             91,      386,        223,        65
   49,           696,             654,            203,       314,          99,         62,          1176,              42,             94,      397,        226,        67
   50,           723,             680,            209,       370,         111,         71,          1225,              44,             98,      410,        232,        68
   51,           753,             709,            219,       344,         107,         67,          1275,              45,            105,      418,        235,        69
   52,           804,             759,            231,       364,         111,         71,          1326,              47,            106,      431,        243,        72
   53,           855,             809,            247,       364,         112,         70,          1378,              47,            109,      440,        247,        73
   54,           905,             858,            264,       407,         121,         77,          1431,              52,            113,      450,        258,        77
   55,           927,             879,            288,       401,         120,         80,          1485,              49,            118,      460,        265,        78
