   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              2,         0,           0,          2,             0,               0,              1,        0,          0,         2
   1,             0,               0,              1,         0,           0,          1,             0,               0,              0,        0,          0,         1
   2,             1,               0,              6,         2,           2,         18,             1,               0,              1,        1,          2,         5
   3,             3,               1,              7,         3,           4,         11,             3,               1,              2,        3,          3,         4
   4,             4,               1,              3,         8,           5,          9,             6,               1,              3,        7,          7,         6
   5,             8,               4,              5,        10,           7,         10,            10,               2,              3,       12,         10,         6
   6,            11,               6,              6,        14,           8,         10,            15,               2,              4,       16,         12,         8
   7,            16,              10,              9,        17,           7,         10,            21,               4,              5,       19,         14,         9
   8,            20,              13,             11,        27,          12,         14,            28,               5,              7,       27,         19,        11
   9,            26,              18,             14,        29,          16,         17,            36,               6,              8,       35,         24,        14
  10,            28,              19,             15,        31,          16,         17,            45,               7,             10,       41,         29,        17
  11,            30,              20,             15,        40,          17,         19,            55,               8,             11,       48,         32,        19
  12,            33,              22,             17,        49,          18,         22,            66,               8,             13,       57,         38,        22
  13,            34,              22,             17,        50,          23,         25,            78,               8,             15,       65,         42,        21
  14,            42,              29,             10,        51,          22,         12,            91,               9,              8,       69,         45,        13
  15,            51,              37,             13,        69,          22,         14,           105,              11,             10,       73,         49,        14
  16,            62,              47,             16,        76,          25,         15,           120,              13,             11,       82,         53,        15
  17,            78,              62,             21,        71,          28,         15,           136,              12,             12,       87,         56,        16
  18,            91,              74,             24,        79,          28,         16,           153,              16,             14,       97,         62,        17
  19,            96,              78,             25,        92,          35,         20,           171,              16,             15,      105,         66,        18
  20,           110,              91,             30,        99,          37,         21,           190,              17,             16,      109,         69,        19
  21,           128,             108,             35,       113,          36,         22,           210,              18,             18,      119,         78,        22
  22,           131,             110,             36,       119,          38,         24,           231,              18,             20,      127,         84,        23
  23,           132,             110,             36,       166,          42,         35,           253,              18,             21,      137,         86,        24
  24,           154,             131,             41,       114,          39,         23,           276,              19,             23,      151,         95,        26
  25,           176,             152,             47,       119,          44,         25,           300,              16,             24,      162,        100,        27
  26,           189,             164,             51,       132,          46,         27,           325,              20,             26,      170,        102,        28
  27,           213,             187,             58,       155,          48,         30,           351,              21,             28,      177,        105,        30
  28,           235,             208,             64,       169,          55,         33,           378,              24,             31,      188,        114,        31
  29,           250,             222,             68,       180,          55,         35,           406,              26,             33,      199,        118,        33
  30,           266,             237,             72,       176,          56,         34,           435,              27,             35,      205,        121,        33
  31,           275,             245,             76,       172,          55,         34,           465,              27,             37,      214,        123,        34
  32,           286,             255,             78,       183,          60,         35,           496,              29,             39,      225,        131,        36
  33,           312,             280,             85,       186,          60,         35,           528,              30,             41,      232,        138,        37
  34,           342,             309,             93,       213,          64,         39,           561,              27,             46,      240,        141,        38
  35,           373,             339,            101,       218,          72,         41,           595,              31,             45,      251,        143,        40
  36,           385,             350,            102,       215,          71,         41,           630,              32,             48,      260,        152,        41
  37,           414,             378,            111,       228,          74,         42,           666,              32,             51,      269,        160,        42
  38,           437,             400,            117,       247,          76,         45,           703,              32,             52,      283,        160,        44
  39,           457,             419,            121,       255,          78,         45,           741,              35,             54,      295,        173,        45
  40,           482,             443,            126,       278,          75,         46,           780,              37,             57,      300,        177,        46
  41,           513,             473,            136,       262,          82,         48,           820,              37,             60,      306,        181,        47
  42,           535,             494,            142,       297,          80,         49,           861,              36,             61,      320,        190,        48
  43,           573,             531,            149,       268,          89,         48,           903,              39,             64,      335,        199,        51
  44,           580,             537,            151,       298,          93,         52,           946,              39,             67,      335,        195,        50
  45,           618,             574,            162,       320,          91,         54,           990,              40,             71,      349,        200,        52
  46,           622,             577,            166,       295,         101,         54,          1035,              41,             73,      360,        209,        54
  47,           656,             610,            172,       316,          94,        102,          1081,              44,            158,      376,        216,       117
  48,           692,             645,            367,       355,          98,        123,          1128,              43,            160,      391,        225,        60
  49,           720,             672,            186,       370,         104,         62,          1176,              40,             83,      404,        234,        61
  50,           735,             686,            198,       365,          99,         60,          1225,              46,             87,      413,        242,        62
  51,           776,             726,            201,       410,         105,         66,          1275,              44,             89,      429,        246,        64
  52,           789,             738,            207,       402,         119,         67,          1326,              46,             93,      437,        256,        66
  53,           791,             739,            206,       438,         106,         67,          1378,              47,             95,      452,        265,        67
  54,           832,             779,            216,       433,         113,         69,          1431,              49,            101,      471,        275,        70
